ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-28,0.13028038319148935,0.14480768815320913,0.14480768817188105,0.13028038319148935,0.13028038319148935,0.014527304971064543,0.014527304971064543,0.014527304971064543,0.014527304971064543,0.014527304971064543,0.014527304971064543,0.0,0.0,0.0,0.1448076881625539
2025-10-29,-0.2105576027401987,0.14574468309182176,0.14574468310966343,-0.2105576027401987,-0.2105576027401987,0.3563022858407153,0.3563022858407153,0.3563022858407153,0.3563022858407153,0.3563022858407153,0.3563022858407153,0.0,0.0,0.0,0.14574468310051664
2025-10-30,-0.5513955886718868,-0.09073488246791245,-0.09073488030061413,-0.5513955898133588,-0.5513955876440669,0.460660707341223,0.460660707341223,0.460660707341223,0.460660707341223,0.460660707341223,0.460660707341223,0.0,0.0,0.0,-0.09073488133066376
2025-10-31,-0.8922335746035746,-0.5846231902226867,-0.5846231833855965,-0.8922335781683957,-0.8922335713233445,0.30761038795191403,0.30761038795191403,0.30761038795191403,0.30761038795191403,0.30761038795191403,0.30761038795191403,0.0,0.0,0.0,-0.5846231866516605
2025-11-01,-1.233071560535263,-1.0811704475014285,-1.0811704345073874,-1.2330715672480093,-1.2330715542459287,0.15190111974071183,0.15190111974071183,0.15190111974071183,0.15190111974071183,0.15190111974071183,0.15190111974071183,0.0,0.0,0.0,-1.081170440794551
2025-11-02,-1.5739095464669508,-2.3322995261594204,-2.332299506011659,-1.5739095569033341,-1.5739095367484546,-0.7583899692559652,-0.7583899692559652,-0.7583899692559652,-0.7583899692559652,-0.7583899692559652,-0.7583899692559652,0.0,0.0,0.0,-2.332299515722916
2025-11-03,-1.9147475323986387,-2.4473593833904075,-2.4473593548634316,-1.914747546804772,-1.9147475182709537,-0.5326118365892443,-0.5326118365892443,-0.5326118365892443,-0.5326118365892443,-0.5326118365892443,-0.5326118365892443,0.0,0.0,0.0,-2.447359368987883
2025-11-04,-2.255585518330327,-2.241058232980906,-2.2410581943799674,-2.255585537957205,-2.255585499353829,0.014527304971710986,0.014527304971710986,0.014527304971710986,0.014527304971710986,0.014527304971710986,0.014527304971710986,0.0,0.0,0.0,-2.241058213358616
2025-11-05,-2.596423504262015,-2.2401212428096056,-2.2401211947543467,-2.5964235286512873,-2.5964234805938915,0.35630228584144924,0.35630228584144924,0.35630228584144924,0.35630228584144924,0.35630228584144924,0.35630228584144924,0.0,0.0,0.0,-2.240121218420566
2025-11-06,-2.937261490193703,-2.4766008133532047,-2.476600753142608,-2.937261520685702,-2.9372614604889944,0.46066070734068904,0.46066070734068904,0.46066070734068904,0.46066070734068904,0.46066070734068904,0.46066070734068904,0.0,0.0,0.0,-2.476600782853014
2025-11-07,-3.278099476125391,-2.970489125645134,-2.9704890525018666,-3.2780995135929616,-3.2780994404497625,0.3076103879517524,0.3076103879517524,0.3076103879517524,0.3076103879517524,0.3076103879517524,0.3076103879517524,0.0,0.0,0.0,-2.9704890881736388
2025-11-08,-3.618937462057079,-3.46703638517456,-3.4670362998471154,-3.6189375049161785,-3.618937419584147,0.15190111974296014,0.15190111974296014,0.15190111974296014,0.15190111974296014,0.15190111974296014,0.15190111974296014,0.0,0.0,0.0,-3.467036342314119
2025-11-09,-3.9597754479887666,-4.718165467469126,-4.718165368310822,-3.9597754982212914,-3.9597753990610323,-0.7583899692562216,-0.7583899692562216,-0.7583899692562216,-0.7583899692562216,-0.7583899692562216,-0.7583899692562216,0.0,0.0,0.0,-4.718165417244988
2025-11-10,-4.300613433920455,-4.833225328984477,-4.833225215752849,-4.3006134923952715,-4.3006133791642265,-0.5326118365897031,-0.5326118365897031,-0.5326118365897031,-0.5326118365897031,-0.5326118365897031,-0.5326118365897031,0.0,0.0,0.0,-4.833225270510159
2025-11-11,-4.641451419852143,-4.626924182287455,-4.626924051536879,-4.641451487248984,-4.641451356495841,0.014527304971493394,0.014527304971493394,0.014527304971493394,0.014527304971493394,0.014527304971493394,0.014527304971493394,0.0,0.0,0.0,-4.62692411488065
2025-11-12,-4.98228940578383,-4.625987195168166,-4.6259870488175885,-4.9822894810143294,-4.982289334651288,0.35630228584012835,0.35630228584012835,0.35630228584012835,0.35630228584012835,0.35630228584012835,0.35630228584012835,0.0,0.0,0.0,-4.6259871199437015
2025-11-13,-5.323127391715518,-4.862466769262655,-4.862466605258945,-5.323127476602851,-5.323127312589212,0.4606607073407377,0.4606607073407377,0.4606607073407377,0.4606607073407377,0.4606607073407377,0.4606607073407377,0.0,0.0,0.0,-4.86246668437478
2025-11-14,-5.663965377647206,-5.356355082885748,-5.356354901621327,-5.663965470839343,-5.663965289555206,0.30761038795201506,0.30761038795201506,0.30761038795201506,0.30761038795201506,0.30761038795201506,0.30761038795201506,0.0,0.0,0.0,-5.356354989695191
2025-11-15,-6.004803363578894,-5.852902347562843,-5.852902146490893,-6.004803467309872,-6.004803266239022,0.15190111974247242,0.15190111974247242,0.15190111974247242,0.15190111974247242,0.15190111974247242,0.15190111974247242,0.0,0.0,0.0,-5.8529022438364215
2025-11-16,-6.345641349510583,-7.1040314326383465,-7.104031214059437,-6.345641463380773,-6.345641244798597,-0.7583899692564778,-0.7583899692564778,-0.7583899692564778,-0.7583899692564778,-0.7583899692564778,-0.7583899692564778,0.0,0.0,0.0,-7.104031318767061
2025-11-17,-6.686479335442271,-7.219091296871429,-7.219091058455254,-6.686479460278027,-6.686479221862565,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,-0.5326118365888117,0.0,0.0,0.0,-7.219091172031082
2025-11-18,-7.027317321373959,-7.012790150356726,-7.012789895362883,-7.027317455340358,-7.027317200332219,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.014527304972139837,0.0,0.0,0.0,-7.012790016401818
2025-11-19,-7.3681553073056465,-7.011853167140822,-7.011852891955237,-7.3681554529866515,-7.368155177800353,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.3563022858408623,0.0,0.0,0.0,-7.011853021464784
2025-11-20,-7.708993293237334,-7.2483327424086506,-7.248332448198727,-7.7089934497498165,-7.7089931555399005,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.4606607073409285,0.0,0.0,0.0,-7.248332585896406
2025-11-21,-8.049831279169021,-7.742221061222883,-7.7422207454855,-8.049831449169188,-8.049831133425391,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.30761038795142903,0.0,0.0,0.0,-7.742220891217593
2025-11-22,-8.39066926510071,-8.238768327372602,-8.238767989221339,-8.39066944711802,-8.390669108961745,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.1519011197419847,0.0,0.0,0.0,-8.238768145358726
2025-11-23,-8.731507251032399,-9.489897416471566,-9.489897054039874,-8.731507447214474,-8.731507084784022,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,-0.7583899692570867,0.0,0.0,0.0,-9.489897220289485
2025-11-24,-9.072345236964086,-9.604957283508416,-9.60495689284883,-9.072345446923174,-9.07234505626092,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,-0.5326118365906329,0.0,0.0,0.0,-9.604957073554719
2025-11-25,-9.413183222895777,-9.398656139551965,-9.398655724415988,-9.413183444522035,-9.41318302939134,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.014527304971922268,0.0,0.0,0.0,-9.398655917923854
2025-11-26,-9.754021208827464,-9.397719155996532,-9.39771871759712,-9.754021441823566,-9.754021003437344,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.3563022858407145,0.0,0.0,0.0,-9.39771892298675
2025-11-27,-10.094859194759152,-9.634198731969642,-9.634198271441537,-10.094859439317991,-10.094858978777518,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.4606607073411193,0.0,0.0,0.0,-9.634198487418033
2025-11-28,-10.43569718069084,-10.128087047258495,-10.128086562880684,-10.435697435218684,-10.435696950834913,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.3076103879516917,0.0,0.0,0.0,-10.128086792739147
